ชื่อวิชา,รหัสวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,description,CLOs
" เทคโนโลยีสีเขียว
 (Green Technology)",03600012,3,คณะวิศวกรรมศาสตร์ ศรีราชา,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด",course_info,"พื้นฐานของการพัฒนาอย่างยั่งยืนและเทคโนโลยีสีเขียว แหล่งพลังงานทางเลือกและ
พลังงานทดแทน การอนุรักษ์และการจัดการพลังงาน การจัดการกากของเสีย การผลิตและผลิต
ภาพสีเขียว คาร์บอนเครดิตและรอยเท้าคาร์บอน การจัดการผลกระทบสิ่งแวดล้อมจากเทคโนโลยี
สมัยใหม","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายสาเหตุของภาวะโลกร้อนและผลกระทบที่เกิดขึ้นพร้อมทั้งเสนอแนวทางแก้ไขปัญหาได้
2. เสนอแนวทางการจัดการพลังงานในบริบทต่าง ๆ ได้
3. อธิบายความสำคัญของอุตสาหกรรมสีเขียวได"
" เครื่องมือและทักษะทางคอมพิวเตอร์ที่จำเป็น
 (Essential Computer Tools and Skills)",03600013,1,คณะวิศวกรรมศาสตร์ ศรีราชา,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด",course_info,เครื่องมือผลิตภาพและการประยุกต์การใช้อินเทอร์เน็ตเพื่อการสืบค้น รวบรวม และ วิเคราะห์ข้อมูล เครื่องมือสื่อสาร ความปลอดภัยทางคอมพิวเตอร์การแก้ปัญหาคอมพิวเตอร์ เทคโนโลยีบนกลุ่มเมฆ แบบฟอร์มและเอกสารออนไลน์เครื่องมือสื่อประสมและการสร้างเนื้อหา,ผลลัพธ์ทเกี่ ิดขึ้นกับนสิิต 1. อธิบายวิธีการใช้เครื่องมือทางคอมพิวเตอร์ได้อย่างถูกต้องและปลอดภัย ไม่กระทำผิดกฎหมาย และขัดหลักจริยธรรมทางคอมพิวเตอร์ 2. ใช้โปรแกรมประยุกต์และเครื่องมือทางคอมพิวเตอร์เพื่อแก้ไขปัญหาในงานด้านเอกสาร และ วิเคราะห์ข้อมูลได้ 3. ใช้โปรแกรมประยุกต์และเครื่องมือทางคอมพิวเตอร์เพื่อสร้างสรรค์ผลงานทางด้านมัลติมีเดียได
" การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์
 (Creative Problem Solving and Critical Thinking Skills)",03600014,3,คณะวิศวกรรมศาสตร์ ศรีราชา,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด",course_info,การทำความเข้าใจปัญหาและปัจจัยที่เกี่ยวข้อง ระเบียบวิธีการแก้ปัญหาอย่างเป็นระบบ ความคิดเชิงสร้างสรรค์และการคิดแนวขวาง เทคนิคและเครื่องมือช่วยสร้าง แนวคิดและคำตอบ การรู้จักสังเกตและสงสัย ข้อเท็จจริงและความคิดเห็น ตรรกะและเหตุผลวิบัติการรับฟังอย่างมี วิจารณญาณและการโต้แย้งด้วยเหตุผล,"ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. อธิบายแนวคิดและประโยชน์ของกระบวนการการแก้ปัญหาเชิงสร้างสรรค์ได้
 2. เลือกใช้เครื่องมือ/กระบวนการที่เกี่ยวข้องในการแก้ปัญหาเชิงสร้างสรรค์ได้
 3. ทำงานร่วมกันเป็นหมู่คณะได้
 4. วิเคราะห์ความน่าเชื่อถือและข้อเท็จจริงของข้อมูลข่าวสารได้
 5. สื่อสารข้อมูลข่าวสารได้อย่างมีประสิทธิผลบนหลักการของเหตุแ"
" สุนทรียศาสตร์ทางการกีฬา
 (Aesthetics of Sport)",03654111,3,คณะวิทยาศาสตร์ ศรีราชา,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"การรับรู้และความหมายของสุนทรียศาสตร์ทางการกีฬา การวิเคราะห์และสังเคราะห์การ
รับรู้ทางอารมณ์และพฤติกรรมสุนทรียภาพตามธรรมชาติความสัมพันธ์ระหว่างองค์ประกอบของ
สุนทรียศาสตร์กับการกีฬา รูปแบบและการใช้เทคนิควิธีการผลิตสื่อต่างๆเพื่อสร้างสุนทรียศาสตร์
ทางการกีฬา","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. อธิบายความหมาย ความเป็นมาและคุณค่า ของสุนทรียศาสตร์ทางการกีฬา
 2. ยกตัวอย่างพัฒนาการกิจกรรมสุนทรียศาสตร์ทางการกีฬารวมถึงมิติสุนทรียความงาม คุณค่า และ
ค่านิยมทางการกีฬา
 3. ประยุกต์ความรู้ด้านสุนทรียศาสตร์ทางการกีฬาที่เหมาะสมกับสภาวการณ์ต่าง ๆ
 4. ประยุกต์ใช้ภาษาสื่อสารรวมทั้งเลือกใช้รูปแบบการสื่อสารได้อย่างเหมาะสม
 5. ประยุกต์ใช้เทคโนโลยีสารสนเทศเพื่อการนำเสนอผลงานในรูปแบบต่าง ๆ
 6. แสดงออกถึงความซื่อสัตย์เคารพกฎระเบียบและเข้าใจบริบทของการอยู่ร่วมกับผู้อื่น
 7. เรียนรู้และใฝ่เรียนรู้สิ่งใหม่ในการพัฒนาตัวเอง
 8. แสดงออกถึงความรับผิดชอบ รับฟังความคิดเห็นและทำงานร่วมกันเป็นระบบ"
" สมุนไพรไทยให้คุณ
 (Thai Herbs and their Benefits)",03654112,3,คณะวิทยาศาสตร์ ศรีราชา,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
8 - ด้านความเป็นพลเมือง",course_info,"ประเภทและลักษณะของสมุนไพรไทย ประโยชน์ของสมุนไพรไทยเพื่อการดูแลสุขภาพ
ความงาม และสุนทรียภาพ การอนุรักษ์สมุนไพรไทยจากภูมิปัญญาท้องถิ่น สรรพคุณของ
สมุนไพรไทย การปลูก การเก็บเกี่ยว และการเก็บรักษาสมุนไพร การพัฒนาผลิตภัณฑ์จาก
สมุนไพรไทย และข้อควรระวังในการใช้สมุนไพร","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. ระบุประเภทและจัดกลุ่มสรรพคุณของสมุนไพรไทย
 2. เลือกใช้สมุนไพรไทยเพื่อสุขภาพและการดำเนินชีวิตได้
 3. เลือกวิธีการปลูกและบริหารจัดการพืชสมุนไพรได้อย่างยั่งยืน
 4. เลือกแนวทางการอนุรักษ์สมุนไพรไทยตามภูมิปัญญาท้องถิ่น
 5. พัฒนาผลิตภัณฑ์สมุนไพรไทยเพื่อการอุปโภคและบริโภคได"
" กิจกรรมทางกายเพื่อชีวิตสมัยใหม่
 (Physical Activities for Modern Life)",03654113,3,คณะวิทยาศาสตร์ ศรีราชา,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,"ความสำคัญและประเภทของกิจกรรมทางกาย พฤติกรรมในการดำเนินชีวิตกับสุขภาพ
กิจกรรมทางกายสำหรับอโรคยา โภชนาการกับรูปแบบการดำเนินชีวิตประจำวัน รูปร่างและการ
ควบคุมน้ำหนักตัว การสร้างแรงจูงใจของกิจกรรมทางกายเพื่อสุขภาพ การเลือกกิจกรรมทางกาย
การปฐมพยาบาลเบื้องต้นจากการบาดเจ็บในกิจกรรมทางกาย กิจกรรมทางกายในยามว่าง","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. เลือกกิจกรรมทางกายและแนะนำกิจกรรมที่เหมาะสมให้กับตนเองและบุคคลใกล้ชิดได้
2. แสดงออกถึงการเห็นคุณค่าและความสำคัญของกิจกรรมทางกาย
3. เลือกการควบคุมโภชนาการเพื่อการมีสุขภาพที่ดีได้
4. ประเมินสภาวะทางกายของตนเองได้
5. ปฐมพยาบาลเบื้องต้นให้กับผู้ที่ได้รับบาดเจ็บจากกิจกรรมทางกายได้
6. แสดงออกถึงการเคารพกฎระเบียบในสังคม"
" โมบายแอปพลิเคชันสำหรับชีวิตยุคใหม่
 (Mobile Applications for Modern Life)",03654114,3,คณะวิทยาศาสตร์ ศรีราชา,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"หลักการและความสำคัญของแอปพลิเคชันในโทรศัพท์เคลื่อนที่เพื่อชีวิตยุคใหม่ การ
เลือกใช้แอปพลิเคชันให้เหมาะสมกับตนเอง การประยุกต์ใช้โซเชียลเน็ตเวิร์ก และคลาวด์บน
สมาร์ทโฟน การนำแอปพลิเคชันไปใช้ประโยชน์ในการดำเนินชีวิต จรรยาบรรณและกฎหมายที่
เกี่ยวข้อง แนวโน้มของแอปพลิเคชันในอนาคต","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายความสำคัญของแอปพลิเคชันและประโยชน์ของการใช้งานแอปพลิเคชัน
2. เลือกแอปพลิเคชันที่ตรงกับความต้องการกับการดำเนินชีวิตของผู้เรียนได้
3. ใช้งานแอปพลิเคชันที่ตรงกับความต้องการกับการดำเนินชีวิตของผู้เรียนได้
4. ใช้งานแอปพลิเคชันโดยคำนึงถึงจรรยาบรรณและกฎหมายที่เกี่ยวข้อง"
" กีฬาเพื่อสันทนาการ
 (Recreational Sports)",03654115,3,คณะวิทยาศาสตร์ ศรีราชา,-,"1- ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7- ด้านการเรียนรู้ตลอดชีวิต",course_info,"ประเภทและความสำคัญของกีฬาเพื่อสันทนาการ กีฬาเพื่อสันทนาการที่เหมาะสมกับวัยหรือสภาพ
ร่างกาย กีฬาสันทนาการเพื่อมนุษยสัมพันธ์ การวางแผนกิจกรรมกีฬาเพื่อสันทนาการ กีฬาเพื่อสันทนาการกับ
สิ่งแวดล้อม เทคโนโลยีดิจิทัลกับกีฬาเพื่อสันทนาการ กีฬาเพื่อสันทนาการที่ปลอดภัย สื่อนวัตกรรมกีฬาเพื่อ
สันทนากา","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
CLO1 อธิบายประเภท และความสำคัญกีฬาเพื่อสันทนาการได้
CLO2 อธิบายผลกระทบของกิจกรรมกีฬาเพื่อสันทนาการกับสิ่งแวดล้อมได้
CLO3 ใช้เทคโนโลยีดิจิทัลในการเลือกกิจกรรมกีฬาเพื่อสันทนาการได้
CLO4 นำเสนอกิจกรรมและสื่อนวัตกรรมกีฬาเพื่อสันทนาการได้
CLO5 นำเสนอแนวทางจัดกิจกรรมกีฬาเพื่อสันทนาการให้เหมาะสม"
" มนุษย์กับสิ่งแวดล้อม
 (Man and Environment)",03751111,3,คณะวิทยาการจัดการ,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด",course_info,แนวคิดทางนิเวศวิทยาและสิ่งแวดล้อม ความสัมพันธ์ระหว่างมนุษย์กับทรัพยากรธรรมชาติ และสิ่งแวดล้อม หลักการอนุรักษ์ธรรมชาติและสิ่งแวดล้อม วิธีการปรับตัวและการใช้ประโยชน์ จากสิ่งแวดล้อมเพื่อการดำรงชีวิตของมนุษย์ผลกระทบของกิจกรรมมนุษย์ที่มีต่อสิ่งแวดล้อม สภาพสังคมและเศรษฐกิจ ปัญหาและสถานการณ์สิ่งแวดล้อมในปัจจุบัน มลพิษสิ่งแวดล้อม รวมทั้ง นโยบายการควบคุม การป้องกัน และการแก้ไขปัญหาสิ่งแวดล้อม,"ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. อธิบายความแตกต่างระหว่างวิทยาศาสตร์ธรรมชาติและวิทยาศาสตร์สังคมศาสตร์พร้อมทั้ง
สามารถจำแนกประเภทของสิ่งแวดล้อม คุณสมบัติและลักษณะเฉพาะ โครงสร้างและองค์ประกอบ
ตลอดจนสถานภาพ
 2. อธิบายพื้นฐานด้านทรัพยากรธรรมชาติและสิ่งแวดล้อม พร้อมทั้งความสัมพันธ์ระหว่างระบบ
สิ่งแวดล้อมกับวิถีชีวิตและการดำรงชีวิตของมนุษย์รวมถึงอิทธิพลที่มีต่อกัน
 3. คาดการณ์ทุนทรัพยากรธรรมชาติและสิ่งแวดล้อมที่มีความสำคัญต่อการดำเนินชีวิต การผลิต
การบริโภคระดับคุณภาพชีวิตและความสวยสดงดงามของธรรมชาติ
4. เสนอแนวทางเพื่อควบคุม อนุรักษ์ป้องกันและแก้ไขปัญหาสิ่งแวดล้อมเพื่อคงไว้ให้สภาพแวดล้อม
ที่ดีในมิติต่างๆในการดำรงชีวิต"
" สังคมและการเมือง 
 (Social and Politics)",03751112,3,คณะวิทยาการจัดการ,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"แนวคิดและทฤษฎีทางสังคม การเมืองและวัฒนธรรม กำเนิดสังคมและรัฐ โครงสร้างและ
องค์ประกอบสังคม สถาบันทางสังคมและการเมือง กลุ่มทางสังคมและระบบทางการเมือง
อุดมการณ์และลัทธิการเมือง พรรคการเมืองและระบบราชการ การมีส่วนร่วมทางการเมือง
พัฒนาการทางการเมือง การเปลี่ยนแปลงทางสังคมและการเมือง และการบริหารประเทศใน
สมัยใหม่","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายแนวคิดและทฤษฎีทางสังคม การเมืองและวัฒนธรรม พร้อมทั้งการเปลี่ยนแปลงทาง
เศรษฐกิจ สังคม และการเมือง รวมทั้งวัฒนธรรม
2. ประยุกต์ใช้บทบาทและหน้าที่ของโครงสร้างสังคม องค์ประกอบ และสถาบันทางสังคม
3. ประยุกต์ใช้หลักการ สาระสำคัญ รูปแบบและความแตกต่างหรือเหมือนกัน
4. อภิปรายการเปลี่ยนแปลงทางสังคมและการเมือง การมีส่วนร่วมของประชาชนและการบริหาร
สมัยใหม่
"
" ทรัพยากรสารสนเทศเพื่อการค้นคว้า
 (Information Resources for Research)",03752111,1,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด",course_info,"ความสำคัญ สารสนเทศและแหล่งสารสนเทศ การใช้เทคโนโลยีสารสนเทศในห้องสมุด
การเลือก และการเขียนรายงาน","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
 1. เลือกใช้เครื่องมือในการค้นหาสารสนเทศได้อย่างมีประสิทธิภาพ
 2. จำแนกประเภทสารสนเทศจากแหล่งข้อมูลต่าง ๆ ในยุคดิจิทัลและนำมาใช้ได้อย่างเหมาะสม
 3. เลือกใช้เครื่องมือในการสืบค้นสารสนเทศเพื่อการศึกษาได้อย่างมีประสิทธิภาพ
 4. นำเสนองานที่เกิดจากการค้นคว้า และใช้ทรัพยากรสารสนเทศได้อย่างถูกต้องตามหลักวิชาการ"
" การออกเสียงภาษาอังกฤษขั้นพื้นฐาน
 (Basic English Pronunciation)",03754221,3,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,หลักการออกเสียงขั้นพื้นฐานทั้งเสียงสระและพยัญชนะในภาษาอังกฤษ สัญลักษณ์ทาง สัทศาสตร์และการถอดเสียงภาษาอังกฤษเบื้องต้น การฝึกออกเสียงเบื้องต้นในภาษาอังกฤษทั้งใน แบบอเมริกันและแบบอังกฤษ,"ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. ออกเสียงสระ พยัญชนะขั้นพื้นฐานในภาษาอังกฤษได้
2. อ่านสัญลักษณ์ทางสัทศาสตร์ภาษาอังกฤษได้
3. ถอดเสียงภาษาอังกฤษเพื่อใช้ในการเรียนรู้การออกเสียงคำในภาษาอังกฤษได้
4. ออกเสียงภาษาอังกฤษระดับคำ วลีและประโยคได้
5. จำแนกภาษาอังกฤษระดับคำ วลีและประโยคทั้งในรูปแบบ British English และ American
English ได้"
" การอ่านภาษาอังกฤษในชีวิตประจำวัน
 (English Reading in Daily life)",03754231,3,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด",course_info,"การฝึกทักษะการอ่านในหัวข้อต่าง ๆ ที่เกี่ยวข้องกับชีวิตประจำวัน โดยเน้นการอ่านเร็ว
กลวิธีในการอ่าน การสร้างคำศัพท์เทคนิคการอ่านเพื่อทำความเข้าใจ การอ่านเชิงวิเคราะห์การอ่าน
ออกเสียง การอ่านแบบเล่าเรื่อง และการอ่านเชิงกว้าง","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายความสำคัญและหลักการอ่านได้
2. บอกข้อมูลเฉพาะของเรื่องที่อ่านในเวลาที่จำกัดได้
3. แปลความหมายของคำศัพท์และสำนวนต่าง ๆ จากบริบทแวดล้อมของเรื่องที่อ่านได้
4. อ่านออกเสียงภาษาอังกฤษขั้นพื้นฐานได้
5. สรุปประเด็นจากเรื่องที่อ่านได้
6. แสดงความคิดเห็นจากเรื่องที่อ่านผ่านกิจกรรมหรือการนำเสนอผลงานในรูปแบบต่าง ๆ ได"
" โครงสร้างทางไวยากรณ์ภาษาอังกฤษ
 (English Grammatical Structure)",03754241,3,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด",course_info,"ส่วนประกอบหลักของประโยคภาษาอังกฤษ ประเภทของคำไวยากรณ์ภาษาอังกฤษและ
ชนิดของประโยค หน้าที่ของคำ วลีอนุประโยค และประโยค","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. แยกแยะองค์ประกอบหลักของกลุ่มคำและประโยคภาษาอังกฤษ ส่วนขยายขององค์ประกอบ
ต่าง ๆ เครื่องหมายวรรคตอน และชนิดของประโยค
2. ระบุความสัมพันธ์ขององค์ประกอบหลัก และส่วนขยายภายในกลุ่มคำหรือประโยค
3. เขียนประโยคภาษาอังกฤษที่ถูกต้องเหมาะส"
" การเขียนย่อหน้าภาษาอังกฤษ
 (English Paragraph Writing)",03754251,3,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,"ความหมายและความสำคัญของการเขียนย่อหน้า คุณลักษณะของย่อหน้าที่ดีขั้นตอนใน
การเขียนย่อหน้า ชนิดของการเขียนย่อหน้า การฝึกเขียนย่อหน้าสั้น","ผลลัพธ์ทเกี่ ิดขึ้นกับนสิิต
1. อธิบายความหมายและความสำคัญของการเขียนย่อหน้าภาษาอังกฤษได้
2. อธิบายหลักการเขียนย่อหน้าภาษาอังกฤษเบื้องต้นได้
3. อธิบายชนิดของการเขียนย่อหน้าภาษาอังกฤษได้
4. เขียนย่อหนาภาษาอ ้ ังกฤษได้
"
" ภาษาอังกฤษเพื่องานอาชีพ
 (English for Careers)",03754271,3,คณะวิทยาการจัดการ,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด",course_info,"ศัพท์และสำนวนภาษาอังกฤษที่ใช้ในงานอาชีพ บันทึกข้อความ ประกาศ ตารางเวลา
โฆษณา อีเมล และเอกสารต่าง ๆ ที่เกี่ยวข้อง การฟังและพูดบทสนทนาพื้นฐานที่เกี่ยวข้องกับการ
ทำงาน","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. ระบุคำศัพท์วลีภาษา ในการนำเสนองานเป็นภาษาอังกฤษได้
2. อธิบายคำศัพท์วลีภาษา และสำนวนต่าง ๆ มาใช้ในการเขียนเรื่องระดับย่อหน้า
3. อธิบายคำศัพท์วลีภาษา และสำนวนต่าง ๆ มาใช้สื่อสารในบริบทของการทำงาน"
" คณิตศาสตร์สำหรับธุรกิจ
 (Mathematics for Business)",03757123,3,คณะวิทยาการจัดการ,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด",course_info,"คณิตศาสตร์เบื้องต้นที่จำเป็นสำหรับธุรกิจ การคำนวณหาดอกเบี้ย การคิดค่าเสื่อมราคา
มูลค่าปัจจุบันและเงินงวด คณิตศาสตร์สำหรับการซื้อและการขาย การประกันภัย การตัดสินใจ
ภายใต้ความเสี่ยงและความไม่แน่นอน ฟังก์ชัน อนุพันธ์และปริพันธ์และการประยุกต์เพื่อการ
ตัดสินใจทางธุรกิจ","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายบทบาทที่สำคัญของคณิตศาสตร์ในแง่มุมของธุรกิจได้
2. คำนวณคณิตศาสตร์พื้นฐาน บวก ลบ คูณ หาร ทศนิยม เศษส่วน ร้อยละ และ สมการเพื่อ
แก้ปัญหาทางธุรกิจได้
3. อธิบายเรื่องความสัมพันธ์และอนุพันธ์ในทางคณิตศาสตร์เบื้องต้นได้
4. คำนวณสูตรทางคณิตศาสตร์ได้อย่างถูกต้องและนำไปแก้ปัญหาทางธุรกิจได้
5. นำเรื่องความสัมพันธ์และอนุพันธ์นำมาใช้แก้ปัญหาทางธุรกิจได"
" วิถีชีวิตเศรษฐกิจพอเพียง
 (Lifestyle of Sufficiency Economy)",04101201,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,"หลักคิด บทบาท และความสำคัญของเศรษฐกิจพอเพียง การประยุกต์เศรษฐกิจพอเพียง
ในชีวิตประจำวัน และการบูรณาการเศรษฐกิจพอเพียงในการประกอบอาชีพต่าง ๆ","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. อธิบายประวัติความเป็นมา ความหมาย ความสำคัญ หลักการของเศรษฐกิจพอเพียง และ
อธิบายหลักการดำเนินชีวิตตามแนวเศรษฐกิจพอเพียงได้
2. แสดงออกถึงพฤติกรรมการเห็นความสำคัญของการดำเนินชีวิตตามวิถีเศรษฐกิจพอเพียง
3. อธิบายและยกตัวอย่างการประยุกต์ใช้เศรษฐกิจพอเพียงในภาคเกษตร ท้องถิ่น ชุมชน และการ
เปลี่ยนแปลงในยุคโลกาภิวัฒน์ได้
4. นำหลักเศรษฐกิจพอเพียงไปปรับใช้ในการดำเนินชีวิตในมหาวิทยาลัยและการดำเนินชีวิตใน
อนาคตได้
5. เชื่อมโยงหลักการเศรษฐกิจพอเพียงไปใช้กับการประกอบอาชีพอื่น ๆ ได้
"
" จิตอาสาเพื่อพัฒนาชุมชน
 (Volunteer Spirit for Community Development)",04101302,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",course_info,"หลักของจิตอาสา การศึกษาและวิเคราะห์จิตอาสาเพื่อพัฒนาชุมชนและความเข้าใจ
การบริหารจัดการกลุ่มเพื่อทำกิจกรรมจิตอาสา การนำไปใช้ประโยชน์ในการดำเนินงานเพื่อพัฒนา
ชุมชน
 ","ผลลัพธ์ที่เกิดขึ้นกับนิสิต
1. แสดงออกถึงความมีจิตอาสา
2. ทำกิจกรรมจิตอาสาร่วมกับผู้อื่นได้ในฐานะผู้นำและผู้ตาม โดยรู้บทบาทหน้าที่ของตนเอง
3. นำเสนอแนวทางการแก้ปัญหากิจกรรมจิตอาสาของกลุ่ม และให้ข้อเสนอแนะแนวทางปรับปรุงได"
" วิถีโภชนาการใหม่เพื่อชีวิต 
 (New Trend Nutrition for Life)",04152201,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง",course_info,"ความสำคัญของอาหาร โภชนาการและสุขภาพ ความต้องการสารอาหาร การประเมินภาวะโภชนาการด้วย
ตนเอง การจัดรายการอาหาร อาหารเป็นยา อาหารฟังก์ชัน อาหารสำหรับวิถีใหม่ในการดำรงชีวิตในสังคมโลก"," ผลลัพธ์ที่เกิดขึ้นกับนิสิต
6.2.1 นิสิตสามารถประเมินภาวะโภชนาการของตนเองและบุคคลทั่วไปได้
6.2.2 นิสิตสามารถจัดรายการอาหารให้เหมาะสมต่อภาวะโภชนาการของตนเองและบุคคลทั่วไป
6.2.3 นิสิตสามารถให้ข้อมูลเกี่ยวกับการรับประทานอาหารที่ถูกหลักโภชนาการได้"
" กิจกรรมยามว่างเพื่อสุขภาพ
 (Leisure Activity for Health)",04355181,3,คณะศิลปศาสตร์และวิทยาการจัดการ,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง",course_info,หลักการทฤษฎีกิจกรรมยามว่าง การประกอบกิจกรรมและการออกกำลังกายเพื่อพัฒนาสุขภาพ สมรรถภาพกายและจิตใจ และการผ่อนคลายความเครียดจากภารกิจประจำวัน,
" การออกกำลังกายเพื่อสุขภาพที่ดี
 (Exercises for Wellbeing) 
 ***ปรับปรุงจากวิชา 04837111***",04355182,3,คณะศิลปศาสตร์และวิทยาการจัดการ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,"การประเมินสมรรถภาพทางกาย การเสริมสร้าง
สมรรถภาพทางกาย สัดส่วนร่างกายและการควบคุม
น้ำหนัก การป้องกันและการปฐมพยาบาลการบาดเจ็บ
จากการเล่นกีฬา การปฏิบัติตนสำหรับออกกำลังกาย
และเล่นกีฬาเพื่อพัฒนาสุขภาพ การประยุกต์ความรู้
วิทยาศาสตร์การกีฬาเบื้องต้น"," ผลลัพธ์ที่เกิดขึ้นกับนิสิต
CLO1 สามารถเลือกประเภทของการออกกำลังกายเพื่อพัฒนาสุขภาพได้ตามเป้าหมาย
CLO2 สามารถประเมินสมรรถภาพทางกายสำหรับตนเองและผู้อื่นได้
CLO2 สามารถวางแผนการออกกำลังกายสำหรับตนเองได้"
